id,Dialogue_id,Utterance_id,Sentence,speaker,Label
6499,7,10,Then you've gotta be confident! - Show him you mean business.,Gabe,0
6500,7,11,Oh no.,PJ,0
6501,7,12,"What are you afraid of? - Well, clowns, spiders, the dark No, I mean with brock.",PJ,0
6502,7,13,He's the Captain of the wrestling team.,PJ,0
6503,7,14,Trust me all tough guys are the same.,Gabe,0
6504,7,15,"You stand up to them, they'll always back down.",Gabe,0
6505,7,16,"All right, I'll I'll try it.",PJ,0
6506,7,17,Yeah.,Gabe,0
6507,7,18,Yeah.,PJ,0
6508,7,19,Okay.,PJ,0
6509,7,20,Brock.,PJ,0
6510,7,21,This is PJ.,PJ,0
6511,7,22,Skyler is my girlfriend now and I want you to stop bothering her.,PJ,0
6512,7,23,Uh-huh.,PJ,0
6513,7,24,Works for me.,PJ,0
6514,7,25,Okay.,PJ,0
6515,7,26,Bye.,PJ,0
6516,7,27,He wants to meet after school.,PJ,0
6517,7,28,To do what? - I'm guessing homework.,PJ,0
6518,7,29,He said he was gonna teach me a lesson.,PJ,1
6519,8,0,"Hi, you wanted to see me, principal hibbert? Yes, Teddy, have a seat.",Teddy,0
6520,8,1,I want to show you something our security cameras caught earlier today.,Others,0
6521,8,2,I think you'll find it interesting.,Others,0
6522,8,3,Can we see what else is on? Shh shh shh.,Teddy,0
6523,8,4,Here's my favorite part.,Others,0
6524,8,5,Why why is it in fast motion? - It's funnier that way.,Teddy,0
6525,8,6,I I don't know what to say.,Teddy,0
6526,8,7,There's good news and bad news.,Others,0
6527,8,8,"Mr.Others has agreed not to press charges, but your mother is banned from campus.",Others,0
6528,8,9,What's the bad news? Mr.,Teddy,0
6529,8,10,Others is demanding an apology.,Others,0
6530,8,11,Oh.,Teddy,0
6531,8,12,"Oh, okay okay.",Teddy,0
6532,8,13,"Well, I'll say sorry to him the next time I see him.",Teddy,0
6533,8,14,Not from you.,Others,0
6534,8,15,"Ooh, there's the bad news.",Teddy,1
6535,9,0,"Hey, honey, how was Charlie's first ballet class? Okay, you're not gonna like this, but Charlie got kicked out of class because I was videotaping.",Bob,0
6536,9,1,"But I'm gonna fix it, so please don't yell at me.",Bob,0
6537,9,2,Okay.,Amy,0
6538,9,3,Cupcake? - Cupcake? - Mm-hmm.,Amy,0
6539,9,4,That's it? You're not mad? No! I'm not mad.,Amy,0
6540,9,5,"Honey, everybody in this family has to learn to be very forgiving people.",Amy,0
6541,9,6,What'd you do? Nothing.,Bob,1
6542,9,7,"Mom! Ooh, I think we're gonna find out what 'nothing' means.",Bob,0
6543,9,8,"What's up, sweetie? I just saw the most interesting nature film - Mmm? - In school today.",Teddy,0
6544,9,9,"Yeah, it was about a mama bear that wandered into a classroom and chased a teacher.",Teddy,0
6545,9,10,"That's nice, dear.",Amy,0
6546,9,11,Cupcake? No.,Amy,0
6547,9,12,"No, cupcakes only work on dad.",Teddy,0
6548,9,13,It's true.,Bob,0
6549,9,14,Mr.,Teddy,0
6550,9,15,Others is coming over tomorrow night and you will apologize to him.,Teddy,0
6551,9,16,"Fine, I'll apologize.",Amy,0
6552,9,17,I guess I got a little bit out of control.,Amy,0
6553,9,18,I don't know why I do it.,Amy,0
6554,9,19,I just lose it sometimes.,Amy,0
6555,9,20,"Did you see the part where I chased him around the janitor? You have to admit that was a little funny, right? Maybe a little.",Amy,1
6556,10,0,"Miss Donna? - Oh, Mr.Duncan.",Bob,0
6557,10,1,Oh! Hey hey.,Bob,0
6558,10,2,Hi.,Bob,0
6559,10,3,Huh.,Bob,0
6560,10,4,"Miss Donna, you know, I was just Demonstrating a well-executed plie.",Others,0
6561,10,5,"You have some ballet experience? Oh, it was a long time ago.",Bob,0
6562,10,6,I don't First position! Second position.,Others,0
6563,10,7,Attitude.,Others,0
6564,10,8,Now give me two grand jetes.,Others,0
6565,10,9,"Oh, no no no.",Bob,0
6566,10,10,"Oh, all right.",Bob,0
6567,10,11,Very impressive.,Others,0
6568,10,12,"Thank you, thank you, but really I'm I'm here 'cause I'm hoping that you'll let Charlie back in the dance class.",Bob,0
6569,10,13,"Well, I will if you'll help me with something.",Others,0
6570,10,14,I'm doing some choreography for one of my advanced classes.,Others,0
6571,10,15,Now I'm going to do a stag leap into your arms.,Others,0
6572,10,16,Lift me high and then release me gently onto the floor.,Others,0
6573,10,17,"You know, I I only had three classes.",Bob,0
6574,10,18,"Oh boy! Miss Donna, are you okay? My head's in a wall.",Bob,0
6575,11,0,"Uh, listen, about the Charlie thing, how are we feeling? - What's going on? - Okay, so I gave you a little bad advice about Skyler's old boyfriend and now I'm gonna make up for it.",Gabe,0
6576,11,1,You bought me a ninja? - Dude.,PJ,0
6577,11,2,"This is Matt, my karate teacher.",Gabe,0
6578,11,3,Oh.,PJ,0
6579,11,4,Hey.,PJ,0
6580,11,5,How you doing? Oh! Matt's made me the most feared kid in the third grade.,Gabe,0
6581,11,6,You're in fifth grade.,PJ,0
6582,11,7,"Hey, one grade at a time.",Gabe,1
6583,11,8,"Anyway, Matt's gonna help you win - your fight tomorrow.",Gabe,0
6584,11,9,"All right, PJ., let's see what you've got.",Others,0
6585,11,10,"Come at me, all right? I want you to punch, hit, kick.",Others,0
6586,11,11,I do I don't want to hurt you.,PJ,0
6587,11,12,That's the whole point of this suit.,Others,0
6588,11,13,"You wearing this, can't feel a thing.",Others,0
6589,11,14,Really? Then I have a better idea.,PJ,0
6590,12,0,How you doing? - You PJ.? Y wait.,Others,0
6591,12,1,"You're brock, the Captain of the wrestling team? My coach says I'm 98 lbs of white-hot fury.",Others,0
6592,12,2,What's with the outfit? It's a self-defense suit.,PJ,0
6593,12,3,Fine by me.,Others,0
6594,12,4,Oh wait.,PJ,0
6595,12,5,Okay.,PJ,0
6596,12,6,We'll take a water break.,PJ,0
6597,12,7,No.,Others,0
6598,12,8,Not until I'm done teaching you a lesson.,Others,0
6599,12,9,Forget it.,Others,0
6600,12,10,I can't b*at you up.,Others,0
6601,12,11,I can't get Skyler back.,Others,0
6602,12,12,I can't wear skinny jeans 'cause they're too baggy.,Others,1
6603,12,13,"Man, I know it stinks to get your heart broken, especially by someone as beautiful and smart as Skyler.",PJ,0
6604,12,14,"Well, beautiful.",Others,0
6605,12,15,"But you know, fighting never solved anything.",PJ,0
6606,12,16,"Yeah, I've really gotta work on my people k*ll.",Others,0
6607,12,17,You'll find someone else.,PJ,0
6608,12,18,Plenty of fish in the sea.,PJ,0
6609,12,19,"Well, there is this one other girl I kinda have a crush on.",Others,0
6610,12,20,Who? - Teddy.,Others,0
6611,12,21,"Do you know her? As a matter of fact, I do, and I happen to know she is totally available.",PJ,0
6612,13,0,"Oh, there's Mr.Others.",Teddy,0
6613,13,1,"Now, mom, you promised you'd be good.",Teddy,0
6614,13,2,Mama bear has been declawed.,Amy,1
6615,13,3,Open the door.,Amy,0
6616,13,4,Here we go.,Teddy,0
6617,13,5,Ah.,Teddy,0
6618,13,6,"Mr.Others, come on in.",Teddy,0
6619,13,7,Ah.,Teddy,0
6620,13,8,Wonderful.,Teddy,0
6621,13,9,You remember my mom? Every time I close my eyes.,Others,0
6622,13,10,Mom.,Teddy,0
6623,13,11,Wasn't there something you wanted to say to Mr.Others? I'm sorry.,Amy,0
6624,13,12,For? Swiping everything off your desk.,Amy,0
6625,13,13,And? - Chasing you through the hallway.,Amy,0
6626,13,14,While? - You screamed like a little girl.,Amy,0
6627,13,15,Okay! Good enough.,Teddy,0
6628,13,16,"All right, who's hungry? Oh, dad, there you are.",Teddy,0
6629,13,17,"Mom, why don't you go check on dinner without saying anything else? - Bob.",Teddy,0
6630,13,18,Peter Others.,Others,0
6631,13,19,"You're kidding, right? - No, he's not kidding.",Bob,1
6632,13,20,"Never has, never will.",Teddy,1
6633,13,21,"So, Bob, what do you do for a living? I'm an exterminator.",Bob,0
6634,13,22,The irony.,Others,0
6635,13,23,"You spend all day getting rid of pests, then you come home to the biggest one of all.",Others,0
6636,13,24,"Crudites? - You talking about my wife? - Crudites? You know, Peter Others, you're gonna be picking your pickled peppers - out of the other side of your - Dad! - Are you threatening me? - Oh, this is just the appetizers, people.",Bob,0
6637,13,25,Let's pace ourselves.,Teddy,0
6638,13,26,Just say you're sorry.,Bob,0
6639,13,27,All right.,Others,0
6640,13,28,I'm sorry you married a lunatic.,Others,0
6641,13,29,That's it.,Bob,0
6642,13,30,"Oh no! It's happening again! Mini quiche? Hey! Come back here, you little weasel! You're crazier than your wife! Hey! No one's crazier than my wife! Yeah! No one's crazier than me! See you in class! Hi, Mrs.",Bob,0
6643,13,31,dabney.,Bob,0
6644,14,0,"Hey, Charlie.",Teddy,0
6645,14,1,So we're here at your very first ballet recital and I'm gonna get the whole thing on tape.,Teddy,0
6646,14,2,Ooh.,Teddy,0
6647,14,3,That's odd.,Teddy,0
6648,14,4,Some guy named brock just asked me out.,Teddy,0
6649,14,5,I wonder who he is.,Teddy,0
6650,14,6,No idea.,PJ,1
6651,14,7,"Ooh, it's starting.",Teddy,0
6652,14,8,"Welcome, everyone, to miss Donna's school of dance.",Others,0
6653,14,9,"In this performance, the role of miss Donna will be played by Bob.",Others,0
6654,14,10,"Whoo! Without further ado, a flower is born.",Others,0
6655,14,11,"Hey! Hey! Hey hey hey hey hey! Come on, I'm a friendly flower.",Bob,0
6656,14,12,I'm a friendly flow Hey! I'm friendly! Don't run! - That was a very short recital.,Bob,0
6657,14,13,It was awesome! It was like a monster movie.,Gabe,1
6658,14,14,I I said no videotaping in here.,Others,0
6659,15,0,"Well, I just have to say really quick good luck, Charlie! Okay, are you ready? I don't know, dad.",Teddy,0
6660,15,1,"Teddy, would you trust me? I know what I'm doing.",Bob,0
6661,15,2,Heard those words before.,Teddy,1
6662,15,3,"Well, this time This time I mean it.",Bob,0
6663,15,4,"All right, here we go.",Teddy,0
6664,15,5,Man! I gotta work on my technique.,Bob,0
6665,15,6,Ya think?,Teddy,1
