text,fname,sentence_index
"Yes. yes, we are, so can everyone please leave?",S01E01,131
Not you.,S01E01,132
- Teddy. - Yeah?,S01E01,133
I thought your mom said no study date.,S01E01,134
"Yeah, at the library.",S01E01,135
"Oh, right.",S01E01,136
"Okay, so then you've talked to her about this?",S01E01,137
Of course I did.,S01E01,138
"I mean, I'm-- I'm pretty sure I did.",S01E01,139
It's just I talk to so many different people,S01E01,140
about so many different things.,S01E01,141
Why is there a giant bug in your house?,S01E01,142
"That, my friend,",S01E01,143
"is the jerusalem cricket,",S01E01,144
Better known to the layman as the potato bug.,S01E01,145
- I'm an exterminator.,S01E01,146
- Here we go.,S01E01,147
"Hey, have you seen my ad on local cable--",S01E01,148
Bob's bugs be gone?,S01E01,149
"Yeah, how do we make Bob be gone?",S01E01,150
Okay.,S01E01,151
you've got homework to do.,S01E01,152
I've got a diaper to change.,S01E01,153
Hers-- not mine.,S01E01,154
I ain't that old!,S01E01,155
I'm gonna be upstairs.,S01E01,156
- Gabe-- out.,S01E01,157
"- Okay, fine.",S01E01,158
But when's that hot guy getting here?,S01E01,159
Out!,S01E01,160
- Kids.,S01E01,161
- Yeah.,S01E01,162
"Oh man, I left my book at school.",S01E01,163
"Oh, that's okay, we can just share mine.",S01E01,164
- Is that okay? - Perfect.,S01E01,165
"Good,",S01E01,166
Cause I'm all about the learnin'.,S01E01,167
- Let me just grab a pencil.,S01E01,168
"- Oh yeah, I might have one.",S01E01,169
I think I left my pencils at school.,S01E01,170
Me too.,S01E01,171
Ladies and gentlemen!,S01E01,172
PJ and the Vibe!,S01E01,173
"Wow, sounds like you live right next door to that weird PJ kid.",S01E01,174
Hmm.,S01E01,175
"Yeah, he's not next door.",S01E01,176
He's downstairs,S01E01,177
And he's my brother.,S01E01,178
"Oh! oh, I'm-- I'm sorry.",S01E01,179
"Yeah, me too.",S01E01,180
Wait wait wait! stop stop!,S01E01,181
"Emmett, you were supposed to open with the downbeat.",S01E01,182
"Dude, I'm percussion,",S01E01,183
Let me percush!,S01E01,184
"For crying out loud, guys!",S01E01,185
What's up?,S01E01,186
Can you please turn it down? We're trying to study.,S01E01,187
"No can do, sis.",S01E01,188
There's only one level in rock n' roll.,S01E01,189
And that is loud!,S01E01,190
Whoa whoa.,S01E01,191
I think we can accommodate your little sister.,S01E01,192
"Excuse me,",S01E01,193
But the band is called PJ and the vibe.,S01E01,194
"So what, the Vibe doesn't get a say?",S01E01,195
I-- I'm the vibe.,S01E01,196
"Yeah, I got that.",S01E01,197
"Oh, so you got my vibe, huh?",S01E01,198
I'm gonna be over here.,S01E01,199
- Turn it down now.,S01E01,200
- You will not censor my art.,S01E01,201
I will not be silent!,S01E01,202
hey!,S01E01,203
"If I have come down here again,",S01E01,204
this gets plugged into somewhere else,S01E01,205
Okay?,S01E01,206
"Yo, who's she up there studying with anyway?",S01E01,207
Is there a second fine lady in the house?,S01E01,208
Some guy she's totally into.,S01E01,209
I can't believe she's cheating on me.,S01E01,210
She's not cheating on you.,S01E01,211
She barely knows you exist.,S01E01,212
"No, see, our relationship is just developing slowly.",S01E01,213
"- No, there is no relationship.",S01E01,214
"- Yes, there is.",S01E01,215
"- No, it's all in your head! - no,",S01E01,216
"it's not, cause even my mum know about it",S01E01,217
"Now then, where were we?",S01E01,218
"You know, actually, I think you were a little bit closer.",S01E01,219
All right-- cellular respiration.,S01E01,220
- Do you mind? - not at all.,S01E01,221
While we're at it--,S01E01,222
- What are you doing? - Oh! gabe!,S01E01,223
- What do you want? - Dinner!,S01E01,224
Nobody's fed me all day!,S01E01,225
"And I am still part of this family, right?",S01E01,226
There's a half-eaten sandwich in the fridge,S01E01,227
Knock yourself out.,S01E01,228
All right.,S01E01,229
Now my brothers are all taken care of.,S01E01,230
- Good.,S01E01,231
- And there will be no more interruptions.,S01E01,232
"- Teddy! - Oh, god!",S01E01,233
- What do you want?! - I need you,S01E01,234
to watch the baby for a sec.,S01E01,235
No!,S01E01,236
No!,S01E01,237
Nobody tells mom!,S01E01,238
"Come here, Charlie.",S01E01,239
"Oh, yes.",S01E01,240
- Charlie's fine.,S01E01,241
- Ooh! But I'm not.,S01E01,242
"Uh, Teddy,",S01E01,243
"Tell PJ to fire up the bug truck,",S01E01,244
I think I gotta go to the hospital.,S01E01,245
"Oh, and Teddy, you're gonna have to watch the baby.",S01E01,246
No! Okay.,S01E01,247
"Relax, be the hospital in 10 mintues",S01E01,248
"Okay, just please please hurry.",S01E01,249
"Oh, wow! My butt is on fire!",S01E01,250
That is so weird!,S01E01,251
"Last week, Emmett and I wrote a song",S01E01,252
With that exact same title.,S01E01,253
"That's great, son. just please don't sing--",S01E01,254
- My butt is on fire! ? - Stop it.,S01E01,255
It's the size of a tire!,S01E01,256
Stop it!,S01E01,257
- Punch buggy! - Ow! What are you doing?!,S01E01,258
"Could you drive, please?!",S01E01,259
"- Hey, you want to play license plate game? - No!",S01E01,260
Michigan.,S01E01,261
- Maybe I should go. - no!,S01E01,262
"Um, she's almost done with bottle",S01E01,263
And then she'll go right to sleep.,S01E01,264
Then we can studly-- I mean study.,S01E01,265
"Now, uh, where were we?",S01E01,266
Okay.,S01E01,267
- Yeah. - What is cellular respiration?,S01E01,268
That's when glucose and other compounds,S01E01,269
"oxidize to produce chemical energy,",S01E01,270
- water and carbon dioxide.,S01E01,271
- Mm-hmm.,S01E01,272
Also known as poop.,S01E01,273
"Oh, boy.",S01E01,274
"Hang in there, dad.",S01E01,275
Wow! Butt fire spreading.,S01E01,276
- Where's the doctor? - I'll go see.,S01E01,277
"Okay, wait wait wait.",S01E01,278
Wait.,S01E01,279
Wait.,S01E01,280
Wait.,S01E01,281
Wait.,S01E01,282
wait.,S01E01,283
"We don't want mom to know we're here, right?.",S01E01,284
So please be careful.,S01E01,285
Just try and blend in.,S01E01,286
"Dad, come on.",S01E01,287
It's hard for this to blend in.,S01E01,288
Just figure something out.,S01E01,289
figure something out.,S01E01,290
figure something out.,S01E01,291
Mom!,S01E01,292
You're the doctor?,S01E01,293
Yes.,S01E01,294
I am.,S01E01,295
I am doctor,S01E01,296
Shh-- Chandrasooleewan.,S01E01,297
- Are you Indian? - We prefer to be called Native American.,S01E01,298
Are you sure you're a real doctor?,S01E01,299
You look kinda young.,S01E01,300
You sound like my wife.,S01E01,301
"Okay, uh--",S01E01,302
What seems to be the problem?,S01E01,303
I have a fish hook in my lip!,S01E01,304
- How'd this happen? - My dad is not a very good fisherman.,S01E01,305
"Hey, mine's not a very good walking-down-the-stairs man.",S01E01,306
So--,S01E01,307
I'm guessing you're a 97-pounder.,S01E01,308
"Hush, little baby",S01E01,309
Go beddy-bye,S01E01,310
Teddy wants to kiss a really cute guy.,S01E01,311
How's it going?,S01E01,312
"Well, we're getting there.",S01E01,313
Well well well. What have we here?,S01E01,314
"Emmett, why are you still here?",S01E01,315
"Well, I was looking for the kitchen,",S01E01,316
But I seem to have stumbled upon the ballroom.,S01E01,317
"- hello? - Teddy, it's Mrs Dabney from next door.",S01E01,318
"No, I have not seen your cat.",S01E01,319
I'm calling about your brother;,S01E01,320
He's eating me out of house and home,S01E01,321
Gabe! Step away from the pie!,S01E01,322
"Okay, I'll be right there.",S01E01,323
All right.,S01E01,324
"spencer, I'll be back in like two minutes.",S01E01,325
Don't go anywhere.,S01E01,326
"emmett, go somewhere.",S01E01,327
So what do you think you're doing with my girlfriend?,S01E01,328
She's not your girlfriend,S01E01,329
"Okay, maybe me and you need to step outside",S01E01,330
So you can walk me to my bike.,S01E01,331
You here to give me my sponge bath?,S01E01,332
"- PJ? - Hey, mom.",S01E01,333
What are you doing here?,S01E01,334
I'll tell you what I'm not doing here--,S01E01,335
Giving sponge baths to big hairy guys.,S01E01,336
"So, mom, what's-- what's the happs?",S01E01,337
What's--,S01E01,338
"Hey, honey!",S01E01,339
"- Bob! - Nice work, son.",S01E01,340
"Okay, what's going on here?",S01E01,341
Dad fell down the stairs and broke his butt.,S01E01,342
"- You weren't holding the baby, were you? - Um, yes--",S01E01,343
"Then no, then yes again.",S01E01,344
"Bob, you promised me you weren't gonna drop this one!",S01E01,345
"Honey, look, it was just a little accident.",S01E01,346
"Oh, and by the way, for the record-- an amazing catch!",S01E01,347
I knew this was a huge mistake.,S01E01,348
I never should've gone back to work.,S01E01,349
"Sweetheart, this is all gonna be okay.",S01E01,350
No.,S01E01,351
"no, it's not.",S01E01,352
It's too hard.,S01E01,353
I can't do this.,S01E01,354
"I mean, what made me think I could go back to work full time",S01E01,355
and take care of four kids?,S01E01,356
I'm a terrible mother.,S01E01,357
"No no, you're not.",S01E01,358
"Look, if anything, I'm a horrible father.",S01E01,359
I know!,S01E01,360
Would you guys chill?,S01E01,361
You're great parents.,S01E01,362
"Teddy, gabe and me turned out pretty good.",S01E01,363
"Yeah, come on.",S01E01,364
We've got to be doing something right.,S01E01,365
"I mean, hey, look at this-- our son's a doctor.",S01E01,366
"I'm serious. With both of us working,",S01E01,367
Poor little Charlie doesn't stand a chance.,S01E01,368
"Come on, no one's going solo on this.",S01E01,369
All us kids are gonna help out.,S01E01,370
"And if charlie gets a little messed up along the way,",S01E01,371
We can all share the blame.,S01E01,372
Dr Chandrasooleewan to the operating room.,S01E01,373
It never ends!,S01E01,374
Gabe\NGabe!,S01E01,375
"Sorry about that, Mrs Dabney, but you",S01E01,376
probably shouldn't let him in.,S01E01,377
I didn't let him in.,S01E01,378
He crawled through the cat door.,S01E01,379
"Gabe, is there something you want to say to Mrs Dabney?",S01E01,380
Yeah.,S01E01,381
What are you fixing tomorrow night?,S01E01,382
The cat door.,S01E01,383
Gonna make sure it's locked.,S01E01,384
Okay.,S01E01,385
I think we're done here.,S01E01,386
- Good night.,S01E01,387
- It is now.,S01E01,388
"All right, let's go.",S01E01,389
"- What are you doing? - Oh, so now you're suddenly",S01E01,390
"- interested in me? - gabe, you're my little brother.",S01E01,391
I've never been interested in you.,S01E01,392
I'm kidding.,S01E01,393
What's going on?,S01E01,394
"Ever since the baby arrived,",S01E01,395
Everyone's been ignoring me.,S01E01,396
I feel like I'm invisible.,S01E01,397
I'm just the loser middle kid,S01E01,398
Like you.,S01E01,399
Just because I'm a middle kid doesn't make me a loser.,S01E01,400
Then what does make you a loser?,S01E01,401
I am not a loser. Okay?,S01E01,402
And I was a baby once.,S01E01,403
And then you came along.,S01E01,404
And I was not happy about it.,S01E01,405
"But then you peed on PJ and I thought,",S01E01,406
"Hey, give the kid a shot.",S01E01,407
"Look, someday you're gonna feel the same way",S01E01,408
a bout Charlie that I feel about you.,S01E01,409
"Well, how do you feel about me?",S01E01,410
Let's put it this way--,S01E01,411
"The hottest guy in school is at our house right now,",S01E01,412
And I'm here with you.,S01E01,413
Look how cute she is.,S01E01,414
I am warming up to her already!,S01E01,415
"Okay, Charlie's asleep, Gabe's playing a video game",S01E01,416
And we are finally alone.,S01E01,417
"Hey, everybody!",S01E01,418
I have a bruised coccyx.,S01E01,419
"Oh, come on!",S01E01,420
That's a funny word.,S01E01,421
Coccyx!,S01E01,422
The doctor gave him pain medication.,S01E01,423
Was that me? Sorry.,S01E01,424
I'm a little numb down there.,S01E01,425
"Uh, actually, that's my ride.",S01E01,426
Of course it is.,S01E01,427
"It's good to meet you, son.",S01E01,428
"Oh, good night, sweetheart.",S01E01,429
"Good night, sir.",S01E01,430
- Good night.,S01E01,431
- Good night.,S01E01,432
Coccyx!,S01E01,433
So that's how dad got my first kiss,S01E01,434
And how you flew for the first time.,S01E01,435
But the good news is--,S01E01,436
"Nah, there is no good news.",S01E01,437
I take that back! It's a text from spencer!,S01E01,438
He wants to hang out with me tomorrow night,S01E01,439
At his house!,S01E01,440
Oh! I've gotta go wash your puke out of my jacket.,S01E01,441
"Oh, and, uh, one more thing--",S01E01,442
"When you're my age and you meet a cute boy,",S01E01,443
"Do not, under any circumstances,",S01E01,444
ever ever bring him home.,S01E01,445
"Cause if you do, well--",S01E01,446
"Good luck, Charlie.",S01E01,447
"Oh, that's wonderful.",S01E01,448
Thank you so much for doing this.,S01E01,449
"Hey, if I can't be there for my patients,",S01E01,450
What kind of pretend doctor am I?,S01E01,451
"So, uh, do you ever think about shaving--",S01E01,452
"Like, everywhere?",S01E01,453
I did-- last week.,S01E01,454
"Hi, Charlie.",S01E02,0
It's Teddy here.,S01E02,1
So right now you're nine months old,S01E02,2
and everything is going great.,S01E02,3
"Well, almost everything.",S01E02,4
"Now what I'm about to show you is kind of disturbing,",S01E02,5
So brace yourself.,S01E02,6
"Mmm, these sandwiches will be yummy wummy.",S01E02,7
"Yes, they will, yes, they will.",S01E02,8
Mom and dad have been talking like that ever since you arrived,S01E02,9
"And if it's not over soon, I'm gonna go crazy wazy.",S01E02,10
- PJ! - what?,S01E02,11
What are you listening to?,S01E02,12
I downloaded a podcast on the history of ballet.,S01E02,13
- you like that? - More than baby talk.,S01E02,14
Would you like some fishy wishies with your cookie wookie?,S01E02,15
"Yes, I would, yes, I would.",S01E02,16
"Wait, guys, Charlie isn't even here.",S01E02,17
"No, widdle baby take a nappy wappy upstairs.",S01E02,18
So why are you guys still talking like that?,S01E02,19
I don't weawy know.,S01E02,20
I guess we're just kinda fried.,S01E02,21
"Well, we work all day, take care of a baby all night.",S01E02,22
"Work shift, baby shift",S01E02,23
I've barely got time to make doo-doo,S01E02,24
"Well, when was the last time you guys had a night out?",S01E02,25
"You know, like just the two of you-- like a date?",S01E02,26
Teddy made a funny.,S01E02,27
A funny wunny.,S01E02,28
Seriously! you know what? it's saturday night.,S01E02,29
"You two, you go out, have fun,",S01E02,30
"And do something besides work,",S01E02,31
take care of the baby and make doo-doo.,S01E02,32
"Well, it's nice to dream,",S01E02,33
but who's gonna take of Charlie,S01E02,34
Hello! you've got three great babysitters right here.,S01E02,35
I'm glad I didn't hear that.,S01E02,36
"I don't know, Teddy. It's a really nice thought,",S01E02,37
But we're really not ready to go out without Charlie just yet,S01E02,38
- You guys want to see a magic trick? - Sure!,S01E02,39
- Okay.,S01E02,40
- Prepare to be amazed.,S01E02,41
I could use a night out.,S01E02,42
Today's all burnt toast{\i0},S01E02,43
"Running late,and dad jokes{\i0}",S01E02,44
Has anybody seen my left shoe{\i0},S01E02,45
"I close my eyes, take a bite{\i0}",S01E02,46
"Grab a ride, laugh out loud{\i0}",S01E02,47
There it is up on the roof{\i0},S01E02,48
"I've been there, I've survived{\i0}",S01E02,49
So just take my advice{\i0},S01E02,50
"Hang in there, baby, things are crazy{\i0}",S01E02,51
But I know your future is bright{\i0},S01E02,52
"Hang in there, Baby{\i0}",S01E02,53
There is no maybe{\i0},S01E02,54
Eveything turns out all right{\i0},S01E02,55
Sure life is up and down{\i0},S01E02,56
"But trust me, it comes back all around{\i0}",S01E02,57
You're gonna love who you turn out to be{\i0},S01E02,58
"Hang in there, Baby{\i0}",S01E02,59
"All right, you guys have fun.",S01E02,60
Stay out as late as you want.,S01E02,61
But not too much fun-- We have enough kids already.,S01E02,62
I'm serious.,S01E02,63
"Okay, everyone, be good, have fun, love you.",S01E02,64
- Yeah yeah.,S01E02,65
- All right.,S01E02,66
"Hey, Teddy, thanks for doing this.",S01E02,67
It's gonna be nice for your mom and I,S01E02,68
to have some special time together,S01E02,69
"- Bob, move your butt! - I'm coming!",S01E02,70
"All right, so we divide it up evenly,",S01E02,71
We each get to spend an hour with Charlie.,S01E02,72
Who wants to go first?,S01E02,73
I think you should go first.,S01E02,74
"And second and third, since this was your idea.",S01E02,75
"Hey, I'm not doing this all by myself.",S01E02,76
you guys have to help out.,S01E02,77
Fine.,S01E02,78
I'll go fourth.,S01E02,79
There is no fourth.,S01E02,80
I meant I shall go forth to the park to shoot some hoop.,S01E02,81
"You want to go to the park so badly,",S01E02,82
Then why don't you just take Charlie?,S01E02,83
What's a baby supposed to do at the park?,S01E02,84
"Babies love parks. you can show her the duck pond,",S01E02,85
"The blue sky, clouds.",S01E02,86
We're just gonna look at stuff? that's what TV is for.,S01E02,87
"Yeah heh hah, all right!",S01E02,88
This is great. Whee!,S01E02,89
"Yes, whoo!",S01E02,90
What are you looking at? I was here first.,S01E02,91
"Hey, you can ride that duck.",S01E02,92
I couldn't ride the duck.,S01E02,93
I'd look silly on the duck.,S01E02,94
Fine.,S01E02,95
"Hey there, Charlie. Are we having fun yet?",S01E02,96
All right.,S01E02,97
"Man, you seen a kid's birthday party around here anywhere?",S01E02,98
I'm the entertainment.,S01E02,99
I saw a bounce house of the other end of the park.,S01E02,100
"A bouncy house, eh? Great.",S01E02,101
Another trip to the E.,S01E02,102
R.,S01E02,103
Who are you supposed to be anyway?,S01E02,104
"Plastic man, rubber man?",S01E02,105
"No, those are all registered trademarks.",S01E02,106
I'm Captain Stretchy.,S01E02,107
"There used to be a CS here, but it came off in the wash.",S01E02,108
So what's your super power?,S01E02,109
Super elasticity.,S01E02,110
"Hey, look, there's a quarter.",S01E02,111
"Ah, forget it.",S01E02,112
"Not like it's a dollar, right?",S01E02,113
- Hi.,S01E02,114
- Hi.,S01E02,115
"Oh, yeah, I like your taste in strollers.",S01E02,116
"Thanks, you too.",S01E02,117
- That baby's so cute.,S01E02,118
- You too.,S01E02,119
"Oh, I mean yours too.",S01E02,120
- I'm Emma. - I'm PJ,S01E02,121
- Who's this little guy? - My brother.,S01E02,122
We're just out for our stroll.,S01E02,123
We do this every day.,S01E02,124
Us too.,S01E02,125
"Like I always say, babies love parks.",S01E02,126
- Would you like to sit for a bit? - Sure.,S01E02,127
So I saw you talking to Captain Stretchy earlier.,S01E02,128
"Oh, yeah, he was lost.",S01E02,129
"- Not much of a superhero, right? - Oh, he's the worst.",S01E02,130
We hired him for my brother's birthday party,S01E02,131
- and he sat on the cake.,S01E02,132
- That sounds awful.,S01E02,133
"Oh, it gets worse.",S01E02,134
"The candles was lit, so he sat in the punch",S01E02,135
That's so weird.,S01E02,136
I mean he looks like such a quality entertainer.,S01E02,137
"You know, PJ, I'm really impressed that",S01E02,138
you take your baby sister to the park.,S01E02,139
My brothers would never do anything like that.,S01E02,140
I hope not.,S01E02,141
She is my sister.,S01E02,142
Now watch closely. In this hand I have a quarter,S01E02,143
"And in the other, an ordinary egg.",S01E02,144
"Now I put them in this hat, spin them around a little",S01E02,145
And presto.,S01E02,146
"Just out of curiosity,",S01E02,147
What was supposed to happen?,S01E02,148
I love this baby.,S01E02,149
"Anytime she wants to go to the park, sign me up.",S01E02,150
What happened to you?,S01E02,151
"Let's just say charlie made a friend, PJmade a friend.",S01E02,152
Oh-- and did either you or your friend bother to change a diper?,S01E02,153
There's no time for that.,S01E02,154
I was too busy talking to Emma.,S01E02,155
"- Who's emma? - A vision,",S01E02,156
"An angel, the girl who's moved into my heart.",S01E02,157
Did you tell her about the vacancy in your brain?,S01E02,158
- PJ? - what?,S01E02,159
You brought home the wrong baby.,S01E02,160
What? I did not.,S01E02,161
Take a look! Wrong parts.,S01E02,162
There's nothing wrong with those parts.,S01E02,163
How could you bring home the wrong baby?,S01E02,164
I'm sorry.,S01E02,165
I got a little distracted.,S01E02,166
Emma is really cute.,S01E02,167
"Yeah, well, so was our sister.",S01E02,168
"Come on, let's go to the park and find her.",S01E02,169
Relax! I got her number.,S01E02,170
Then what are you waiting for? call her.,S01E02,171
Wait a second.,S01E02,172
Is it too soon?,S01E02,173
"If I call now, she'll think I'm desperate.",S01E02,174
"Oh, you are desperate.",S01E02,175
Good point.,S01E02,176
"Hello, is Emma there?",S01E02,177
This is a Chinese restaurant?,S01E02,178
"Sure, I'll hear the specials.",S01E02,179
She gave you the wrong number.,S01E02,180
Who couldn't see that one coming?,S01E02,181
But I gave her gum and helped her change a poopy diaper.,S01E02,182
It was so romantic.,S01E02,183
"Well, what do we do now?",S01E02,184
Oh no!,S01E02,185
"Hi mom, what up?",S01E02,186
"Yeah, everything's going great. why wouldn't it be?",S01E02,187
We're just having a grand old time here with--,S01E02,188
Baby,S01E02,189
"Yeah, sure you can talk to him. her her!",S01E02,190
Talk to mommy.,S01E02,191
What do you mean that did't sound like Charlie?,S01E02,192
"What, do you just think I'm making baby noises into the phone?",S01E02,193
"Mom, that's crazy.",S01E02,194
"All right, bye.",S01E02,195
"Say bye, Charlie.",S01E02,196
"Not that I'm in the position to criticize,",S01E02,197
But I was getting more monkey.,S01E02,198
"Come on, let's go to the park.",S01E02,199
And meet the girl who blew off PJ?,S01E02,200
I'm there.,S01E02,201
"- I don't see her. - PJ, what did she look like?",S01E02,202
"She was hot, but what does it matter?",S01E02,203
Maybe we should call someone.,S01E02,204
who do you call when you search a baby.,S01E02,205
Captain Stretchy!,S01E02,206
What is that?,S01E02,207
You're still here?,S01E02,208
Every saturday and sunday all day long.,S01E02,209
"Stay in school, kids.",S01E02,210
Just the guy we needed to see.,S01E02,211
I think you can help us.,S01E02,212
"Hey, kid, I'm just an entertainer.",S01E02,213
I can't get mommy and daddy back together.,S01E02,214
"No, you don't understand.",S01E02,215
"I was talking to a girl here earlier,",S01E02,216
And she said that you worked a party for her brother.,S01E02,217
So? I work lots of parties.,S01E02,218
Where was the party where you fell on cake?,S01E02,219
You got three hours?,S01E02,220
This is really important.,S01E02,221
We need to find her.,S01E02,222
"Interesting situation. You kids need info,",S01E02,223
- And I need a mirdle. - What is a mirdle?,S01E02,224
That's a man girdle.,S01E02,225
And they ain't cheap.,S01E02,226
"Yeah, neither is dry cleaning, apparently.",S01E02,227
Her name's Emma. Did she come back to the park?,S01E02,228
"Well, maybe she did",S01E02,229
And maybe she didn't.,S01E02,230
Stop rubbing your fingers together and answer my question.,S01E02,231
He wants a bribe.,S01E02,232
I can't believe it.,S01E02,233
Here.,S01E02,234
Here is what I konw: Her name is Emma.,S01E02,235
I just told you that.,S01E02,236
I didn't say the information was fresh.,S01E02,237
"Yeah, I know the girl.",S01E02,238
"She comes from a big family-- seven, eight kids.",S01E02,239
For them I've been,S01E02,240
"Astronaut Pete, cowboy Bob",S01E02,241
- Magic Marv? - Yeah! You're familiar with my work.,S01E02,242
"Yeah, and it stinks.",S01E02,243
I'm just starting off,S01E02,244
- And I'm a better magician than you are. - Oh yeah?,S01E02,245
"You think this is easy, huh? here.",S01E02,246
Turn that into a schnauzer.,S01E02,247
"You can't do it, huh?",S01E02,248
Maybe it's because you don't have the chops!,S01E02,249
"Well, Stretchy, do you know where she lives?",S01E02,250
"Yeah, around here somewhere.",S01E02,251
- I'd know it if I saw it. - Great!,S01E02,252
Now you help us tonight and we'll,S01E02,253
get you into that mirdle tomorrow.,S01E02,254
"Oh, and you understand we're not actually",S01E02,255
Gonna put you into it? That you have to do by yourself.,S01E02,256
"Yeah, I get it.",S01E02,257
"All right, come on, guys, we have to go find her.",S01E02,258
